,ID,ATTACK,ARGS,EXTENSION
0,p100_versionB,"att(a,b).  att(b,a).  att(b,c).  att(b,d).  att(c,b).  att(c,d).  att(d,b).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b)
1,p101_versionB,"att(a,b).  att(b,a).  att(b,c).  att(c,d).  att(d,b).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b)
2,p102_versionB,"att(b,a).  att(b,c).  att(c,b).  att(c,d).  att(d,a).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,out(a) out(b)
3,p103_versionB,"att(a,b).  att(b,a).  att(c,b).  att(d,b).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b)
4,p104_versionB,"att(b,a).  att(b,c).  att(b,d).  att(c,b).  att(d,b). ",arg(a). arg(b). arg(c). arg(d).,in(a)
5,p105_versionB,"att(b,a).  att(c,b).  att(c,d).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,out(b) in(d)
6,p106_versionB,"att(a,b).  att(b,a).  att(c,b).  att(d,b). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b)
7,p107_versionB,"att(a,b).  att(b,a).  att(c,b).  att(c,d).  att(d,b).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b)
8,p108_versionB,"att(a,b).  att(b,a).  att(c,b).  att(d,b). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b)
9,p109_versionB,"att(b,a).  att(c,a).  att(c,b).  att(d,a).  att(d,b). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b)
10,p10_versionD,"att(a,b).  att(b,a). ",arg(a). arg(b). arg(c).,in(b) in(c)
11,p110_versionB,"att(a,b).  att(b,a).  att(b,c).  att(b,d).  att(c,b).  att(c,d).  att(d,b).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b)
12,p111_versionG,"att(a,b).  att(b,a).  att(c,b).  att(c,e).  att(d,b).  att(e,b).  att(e,d). ",arg(a). arg(b). arg(c). arg(d). arg(e).,in(a) in(c) out(e)
