Category,Labelling_AAF,Generated Labellings
A,"{in(a), out(b)}, {}, {att(a,b). att(b,a). att(b,c). att(c,d). att(d,b). att(d,c). arg(a). arg(b). arg(c). arg(d).}","{out(a), out(b), out(c)}"
A,"{out(a), out(b)}, {}, {att(b,a). att(b,c). att(c,b). att(c,d). att(d,a). att(d,c). arg(a). arg(b). arg(c). arg(d).}","{out(b), in(c), in(d)}"
A,"{in(a), out(b)}, {}, {att(a,b). att(b,a). att(c,b). att(d,b). att(d,c). arg(a). arg(b). arg(c). arg(d).}","{in(a), out(c), in(d)}"
A,"{in(a)}, {}, {att(b,a). att(b,c). att(b,d). att(c,b). att(d,b). arg(a). arg(b). arg(c). arg(d).}","{out(b), in(c), in(d)}"
A,"{out(b), in(d)}, {}, {att(b,a). att(c,b). att(c,d). att(d,c). arg(a). arg(b). arg(c). arg(d).}","{in(a), in(b), in(d)}"
A,"{in(a), out(b)}, {}, {att(a,b). att(b,a). att(c,b). att(d,b). arg(a). arg(b). arg(c). arg(d).}","{out(a), in(b), out(d)}"
A,"{in(a), out(b)}, {}, {att(a,b). att(b,a). att(c,b). att(c,d). att(d,b). att(d,c). arg(a). arg(b). arg(c). arg(d).}","{out(a), out(c)}"
A,"{in(a), out(b)}, {}, {att(b,a). att(c,a). att(c,b). att(d,a). att(d,b). arg(a). arg(b). arg(c). arg(d).}","{in(a), out(c), out(d)}"
A,"{in(b), in(c)}, {}, {att(a,b). att(b,a). arg(a). arg(b). arg(c).}","{in(a), out(b), out(c)}"
A,"{in(a), out(b)}, {}, {att(a,b). att(b,a). att(b,c). att(b,d). att(c,b). att(c,d). att(d,b). att(d,c). arg(a). arg(b). arg(c). arg(d).}","{out(b), in(c), in(d)}"
A,"{in(a), in(c), out(e)}, {}, {att(a,b). att(b,a). att(c,b). att(c,e). att(d,b). att(e,b). att(e,d). arg(a). arg(b). arg(c). arg(d). arg(e).}","{in(a), out(b), in(c), out(d), out(e)}"
A,"{out(a), in(b), in(e)}, {}, {att(b,a). att(c,d). att(d,e). att(e,b). arg(a). arg(b). arg(c). arg(d). arg(e).}","{out(b), out(c), in(d)}"
A,"{in(a), out(b), out(c)}, {}, {att(a,b). att(b,a). att(c,b). att(d,e). att(e,b). arg(a). arg(b). arg(c). arg(d). arg(e).}","{in(b), in(d)}"
A,"{out(a), out(b), out(c), out(d), out(e)}, {}, {att(a,b). att(b,a). att(c,d). att(d,b). att(d,e). att(e,b). att(e,c). arg(a). arg(b). arg(c). arg(d). arg(e).}","{out(a), in(c), out(d)}"
A,"{in(a), out(b)}, {}, {att(a,b). att(b,a). att(c,d). att(d,e). att(e,c). arg(a). arg(b). arg(c). arg(d). arg(e).}","{out(a), in(c)}"
A,"{out(a), in(b), out(c), out(d), out(e)}, {}, {att(a,b). att(b,a). att(c,b). att(d,b). att(e,b). arg(a). arg(b). arg(c). arg(d). arg(e).}","{out(b), out(c), in(d), out(e)}"
A,"{in(a), out(b)}, {}, {att(b,a). att(c,d). att(d,e). att(e,c). arg(a). arg(b). arg(c). arg(d). arg(e).}","{out(b), out(d), out(e)}"
A,"{out(a), in(c), in(e)}, {}, {att(a,b). att(b,a). att(b,e). att(c,d). att(d,c). att(e,a). att(e,b). arg(a). arg(b). arg(c). arg(d). arg(e).}","{out(a), out(b), out(c)}"
B,"{in(c), in(d), in(e)}, {}, {att(a,b). att(b,a). att(c,b). att(c,d). att(d,b). att(d,e). att(e,b). att(e,c). arg(a). arg(b). arg(c). arg(d). arg(e).}","{out(a), out(b), out(c), in(d)}"
B,"{out(a), in(b)}, {}, {att(a,b). att(b,a). arg(a). arg(b). arg(c).}","{out(a), in(b), in(c)}"
B,"{out(a), in(b), in(c), out(e)}, {}, {att(c,b). att(c,d). att(d,e). att(e,a). att(e,b). arg(a). arg(b). arg(c). arg(d). arg(e).}","{in(a), out(b), out(c), in(e)}"
B,"{in(a), out(b), in(e)}, {}, {att(a,b). att(c,b). att(d,b). att(e,b). att(e,c). arg(a). arg(b). arg(c). arg(d). arg(e).}","{in(a), out(c), out(d), out(e)}"
B,"{out(a), in(b), out(c), out(d), out(e)}, {}, {att(b,a). att(c,d). att(d,c). att(e,c). arg(a). arg(b). arg(c). arg(d). arg(e).}","{in(b), out(e)}"
B,"{out(a), in(b), in(e)}, {}, {att(b,a). att(c,d). att(d,c). att(e,b). arg(a). arg(b). arg(c). arg(d). arg(e).}","{in(a), out(b), in(c), out(d)}"
B,"{out(a), in(b), in(e)}, {}, {att(b,a). att(c,b). att(d,c). att(e,a). arg(a). arg(b). arg(c). arg(d). arg(e).}","{out(a), in(b), out(c), out(e)}"
B,"{in(a), out(c), out(d)}, {}, {att(a,c). att(b,a). att(c,a). att(c,d). att(d,c). att(e,c). arg(a). arg(b). arg(c). arg(d). arg(e).}","{out(a), out(b), in(c)}"
B,"{in(c), out(d)}, {}, {att(a,b). att(c,d). att(d,c). att(d,e). att(e,d). arg(a). arg(b). arg(c). arg(d). arg(e).}","{out(a), out(c)}"
B,"{out(a), in(b), in(c)}, {}, {att(a,b). att(b,a). att(c,b). att(c,d). att(d,c). att(e,b). arg(a). arg(b). arg(c). arg(d). arg(e).}","{in(a), out(b), out(c)}"
B,"{in(a), out(b), in(c), out(d), in(e)}, {}, {att(b,a). att(c,b). att(d,e). att(e,b). arg(a). arg(b). arg(c). arg(d). arg(e).}","{in(a), in(b), in(d), in(e)}"
B,"{in(b), out(d), out(e)}, {}, {att(a,e). att(b,a). att(c,a). att(d,c). arg(a). arg(b). arg(c). arg(d). arg(e).}","{in(a), in(b), in(c), out(d), out(e)}"
B,"{out(a), out(b), in(c)}, {}, {att(b,a). att(c,b). arg(a). arg(b). arg(c).}",{in(a)}
B,"{out(c), out(d), in(e)}, {}, {att(a,b). att(b,a). att(c,b). att(d,e). att(e,b). arg(a). arg(b). arg(c). arg(d). arg(e).}","{out(a), out(b), in(c)}"
B,"{in(a), out(b), in(c)}, {}, {att(b,a). att(c,b). arg(a). arg(b). arg(c).}","{in(a), in(b), out(c)}"
B,"{in(a), out(b), in(c)}, {}, {att(a,b). att(b,a). att(c,b). arg(a). arg(b). arg(c).}","{in(a), out(c)}"
B,"{in(a), in(b), in(c)}, {}, {att(a,b). att(b,a). att(c,b). arg(a). arg(b). arg(c).}","{in(a), out(b), in(c)}"
C,"{in(a), out(b)}, {}, {att(b,a). att(b,c). att(b,d). att(c,b). att(d,b). att(d,c). arg(a). arg(b). arg(c). arg(d).}",{in(d)}
C,"{in(a), out(b)}, {}, {att(a,b). att(b,a). att(c,b). att(c,e). att(d,b). att(e,b). att(e,c). arg(a). arg(b). arg(c). arg(d). arg(e).}","{out(a), out(b), in(c), out(d), out(e)}"
C,"{in(a), out(b), out(c), in(d)}, {}, {att(b,a). att(c,b). att(d,b). att(d,c). arg(a). arg(b). arg(c). arg(d).}","{in(b), out(c)}"
C,"{in(a), out(b)}, {}, {att(b,a). att(b,c). att(b,d). att(c,b). att(c,d). att(d,b). att(d,c). arg(a). arg(b). arg(c). arg(d).}","{in(a), in(b), in(d)}"
C,"{out(a), in(c)}, {}, {att(a,b). att(b,a). att(c,a). att(c,b). arg(a). arg(b). arg(c).}",{in(b)}
C,"{in(a)}, {}, {att(b,a). att(c,b). arg(a). arg(b). arg(c).}","{in(a), in(b)}"
C,"{in(b)}, {}, {att(b,a). att(b,c). att(c,b). arg(a). arg(b). arg(c).}","{out(a), in(c)}"
C,"{in(c)}, {}, {att(b,a). att(c,b). arg(a). arg(b). arg(c).}","{in(a), in(b)}"
C,"{in(a), out(b)}, {}, {att(b,a). att(c,b). att(c,d). att(d,a). att(d,b). att(d,c). att(e,b). arg(a). arg(b). arg(c). arg(d). arg(e).}","{in(a), in(d), in(e)}"
C,"{}, {}, {att(b,a). att(c,b). arg(a). arg(b). arg(c).}",{}
C,"{out(b), in(c)}, {}, {att(a,b). att(b,a). att(c,a). att(c,b). arg(a). arg(b). arg(c).}","{in(a), in(c)}"
C,"{out(b), in(c)}, {}, {att(b,a). att(c,b). arg(a). arg(b). arg(c).}","{out(b), out(c)}"
C,"{out(b), in(c)}, {}, {att(b,a). att(b,c). att(c,b). arg(a). arg(b). arg(c).}","{in(a), out(c)}"
D,"{in(b), in(c)}, {}, {att(b,a). att(c,b). arg(a). arg(b). arg(c).}","{in(a), in(b), out(c)}"
D,"{in(a), out(b)}, {}, {att(a,b). arg(a). arg(b). arg(c).}","{in(a), out(b), out(c)}"
D,"{out(a), out(b)}, {}, {att(a,b). att(b,a). arg(a). arg(b). arg(c).}",{}
D,"{out(a), out(b)}, {}, {att(a,b). att(b,a). att(c,b). att(d,b). att(d,e). att(e,b). att(e,c). arg(a). arg(b). arg(c). arg(d). arg(e).}","{in(b), in(d), out(e)}"
D,"{in(b), in(c)}, {}, {att(b,a). att(b,c). att(c,b). arg(a). arg(b). arg(c).}","{in(a), out(b)}"
D,"{in(a), out(b)}, {}, {att(a,b). att(b,c). att(c,b). arg(a). arg(b). arg(c).}","{out(a), out(b), in(c)}"
D,"{out(a), out(b), in(c)}, {}, {att(a,b). att(b,a). att(c,b). arg(a). arg(b). arg(c).}","{in(a), out(c)}"
D,"{out(a), out(b), in(c)}, {}, {att(b,a). att(b,c). att(c,a). att(c,b). arg(a). arg(b). arg(c).}",{in(a)}
D,"{in(a), out(b), in(c)}, {}, {att(b,a). att(b,c). att(c,b). arg(a). arg(b). arg(c).}",{out(a)}
D,"{in(a), out(b), in(c)}, {}, {att(a,c). att(b,a). att(c,a). att(c,b). arg(a). arg(b). arg(c).}","{in(a), in(b), in(c)}"
D,"{out(a), in(c)}, {}, {att(b,a). att(b,c). arg(a). arg(b). arg(c).}","{out(a), out(b), in(c)}"
D,"{in(b), out(c)}, {}, {att(b,a). att(b,c). att(c,b). arg(a). arg(b). arg(c).}","{in(a), in(c)}"
D,"{out(b), out(c), out(d), out(e)}, {}, {att(a,b). att(b,a). att(c,b). att(d,b). att(e,b). arg(a). arg(b). arg(c). arg(d). arg(e).}","{out(a), in(c), in(d), out(e)}"
E,"{in(a), out(b), in(c)}, {}, {att(b,c). att(c,b). arg(a). arg(b). arg(c).}",{out(a)}
E,"{in(a)}, {}, {att(a,b). att(a,c). att(c,a). arg(a). arg(b). arg(c).}","{out(a), in(c)}"
E,"{in(a)}, {}, {att(b,c). att(c,b). arg(a). arg(b). arg(c).}","{out(a), out(b), out(c)}"
E,"{out(a)}, {}, {att(b,a). att(b,c). att(c,b). arg(a). arg(b). arg(c).}",{out(c)}
E,"{in(a), out(b)}, {}, {att(a,b). att(a,c). att(a,d). att(c,a). att(d,a). arg(a). arg(b). arg(c). arg(d).}",{out(b)}
E,"{out(a), in(b)}, {}, {att(b,a). att(c,b). att(c,d). att(d,b). att(d,c). arg(a). arg(b). arg(c). arg(d).}","{in(a), out(c), out(d)}"
E,"{in(a), in(b), in(c), in(d)}, {}, {att(a,b). att(b,a). att(b,c). att(b,d). att(c,a). att(d,a). arg(a). arg(b). arg(c). arg(d).}","{in(b), out(c), in(d)}"
E,"{in(a), out(b), out(c)}, {}, {att(b,d). att(c,b). arg(a). arg(b). arg(c). arg(d).}","{in(a), in(b), in(c), out(d)}"
E,"{out(a), out(b), out(c), out(d), out(e)}, {}, {att(b,a). att(c,b). att(d,b). att(d,c). att(d,e). att(e,c). arg(a). arg(b). arg(c). arg(d). arg(e).}","{in(a), in(c)}"
E,"{in(a), out(b)}, {}, {att(c,b). att(c,d). att(d,b). att(d,c). arg(a). arg(b). arg(c). arg(d).}","{out(a), in(b), in(c), out(d)}"
E,"{in(a), out(b)}, {}, {att(c,b). att(d,b). arg(a). arg(b). arg(c). arg(d).}","{in(a), out(b)}"
E,"{in(a), out(b)}, {}, {att(b,a). att(c,b). att(c,d). att(d,b). att(d,c). arg(a). arg(b). arg(c). arg(d).}",{in(d)}
E,"{out(a)}, {}, {att(b,a). att(b,c). att(b,d). att(c,b). att(d,b). arg(a). arg(b). arg(c). arg(d).}","{out(b), out(d)}"
