semantics,f,p,n_runs,n_exact,frac_exact
ADM,20,0.5,15,9,0.6
ADM,20,0.75,15,4,0.2667
ADM,20,1.0,15,5,0.3333
ADM,40,0.5,15,10,0.6667
ADM,40,0.75,15,8,0.5333
ADM,40,1.0,15,10,0.6667
ADM,60,0.5,15,14,0.9333
ADM,60,0.75,15,12,0.8
ADM,60,1.0,15,10,0.6667
ADM,80,0.5,15,13,0.8667
ADM,80,0.75,15,12,0.8
ADM,80,1.0,15,15,1.0
ADM,120,0.5,15,15,1.0
ADM,120,0.75,15,15,1.0
ADM,120,1.0,15,14,0.9333
ADM,160,0.5,15,15,1.0
ADM,160,0.75,15,15,1.0
ADM,160,1.0,15,15,1.0
CMP,20,0.5,15,2,0.1333
CMP,20,0.75,15,2,0.1333
CMP,20,1.0,15,0,0.0
CMP,40,0.5,15,8,0.5333
CMP,40,0.75,15,2,0.1333
CMP,40,1.0,15,1,0.0667
CMP,60,0.5,15,8,0.5333
CMP,60,0.75,15,7,0.4667
CMP,60,1.0,15,4,0.2667
CMP,80,0.5,15,13,0.8667
CMP,80,0.75,15,9,0.6
CMP,80,1.0,15,9,0.6
CMP,120,0.5,15,12,0.8
CMP,120,0.75,15,14,0.9333
CMP,120,1.0,15,12,0.8
CMP,160,0.5,15,12,0.8
CMP,160,0.75,15,14,0.9333
CMP,160,1.0,15,13,0.8667
PRF,20,0.5,15,8,0.5333
PRF,20,0.75,15,1,0.0667
PRF,20,1.0,15,1,0.0667
PRF,40,0.5,15,8,0.5333
PRF,40,0.75,15,4,0.2667
PRF,40,1.0,15,3,0.2
PRF,60,0.5,15,14,0.9333
PRF,60,0.75,15,2,0.1333
PRF,60,1.0,15,2,0.1333
PRF,80,0.5,15,11,0.7333
PRF,80,0.75,15,6,0.4
PRF,80,1.0,15,3,0.2
PRF,120,0.5,15,10,0.6667
PRF,120,0.75,15,10,0.6667
PRF,120,1.0,15,1,0.0667
PRF,160,0.5,15,15,1.0
PRF,160,0.75,15,11,0.7333
PRF,160,1.0,15,1,0.0667
STB,20,0.5,15,5,0.3333
STB,20,0.75,15,6,0.4
STB,20,1.0,15,3,0.2
STB,40,0.5,15,9,0.6
STB,40,0.75,15,13,0.8667
STB,40,1.0,15,9,0.6
STB,60,0.5,15,14,0.9333
STB,60,0.75,15,9,0.6
STB,60,1.0,15,10,0.6667
STB,80,0.5,15,14,0.9333
STB,80,0.75,15,13,0.8667
STB,80,1.0,15,7,0.4667
STB,120,0.5,15,15,1.0
STB,120,0.75,15,14,0.9333
STB,120,1.0,15,13,0.8667
STB,160,0.5,15,14,0.9333
STB,160,0.75,15,14,0.9333
STB,160,1.0,15,13,0.8667
