SEMANTICS;P_PARTIAL;NOISE;RATIO_CONFIG;NFILES_POS;N_RUNS;MEAN_MCC_FULL;MEAN_MCC_HARD;MEAN_DELTA
ADM;0.5;0.0;1;10;5;0.9728;0.9198;-0.0531
ADM;0.5;0.0;1;20;5;0.9496;0.8743;-0.0753
ADM;0.5;0.0;1;30;5;1.0000;1.0000;+0.0000
ADM;0.5;0.0;1;40;5;0.9980;0.9737;-0.0243
ADM;0.5;0.0;1;60;5;1.0000;1.0000;+0.0000
ADM;0.5;0.0;1;80;5;1.0000;1.0000;+0.0000
ADM;0.5;0.0;40pos;16;5;1.0000;1.0000;+0.0000
ADM;0.5;0.0;40pos;24;5;1.0000;1.0000;+0.0000
ADM;0.5;0.0;40pos;32;5;1.0000;1.0000;+0.0000
ADM;0.5;0.0;40pos;48;5;1.0000;1.0000;+0.0000
ADM;0.5;0.0;40pos;64;5;1.0000;1.0000;+0.0000
ADM;0.5;0.0;40pos;8;5;1.0000;1.0000;+0.0000
ADM;0.5;0.0;60pos;12;5;0.9177;0.8694;-0.0483
ADM;0.5;0.0;60pos;24;5;0.9980;0.9737;-0.0243
ADM;0.5;0.0;60pos;36;5;0.9980;0.9737;-0.0243
ADM;0.5;0.0;60pos;48;5;0.9883;0.9633;-0.0250
ADM;0.5;0.0;60pos;72;5;1.0000;1.0000;+0.0000
ADM;0.5;0.0;60pos;96;5;1.0000;1.0000;+0.0000
ADM;0.5;0.1;1;10;5;0.7034;0.6321;-0.0713
ADM;0.5;0.1;1;20;5;0.8446;0.8023;-0.0422
ADM;0.5;0.1;1;30;5;0.8281;0.7490;-0.0791
ADM;0.5;0.1;1;40;5;0.8487;0.8330;-0.0157
ADM;0.5;0.1;1;60;5;0.9309;0.9290;-0.0019
ADM;0.5;0.1;1;80;4;0.8941;0.8861;-0.0080
ADM;0.5;0.1;40pos;16;5;0.7142;0.6723;-0.0419
ADM;0.5;0.1;40pos;24;5;0.8166;0.7661;-0.0505
ADM;0.5;0.1;40pos;32;5;0.8550;0.8312;-0.0239
ADM;0.5;0.1;40pos;48;5;0.9169;0.9144;-0.0025
ADM;0.5;0.1;40pos;64;4;0.8422;0.8421;-0.0001
ADM;0.5;0.1;40pos;8;5;0.8918;0.8327;-0.0591
ADM;0.5;0.1;60pos;12;5;0.8800;0.8520;-0.0280
ADM;0.5;0.1;60pos;24;5;0.7219;0.7173;-0.0046
ADM;0.5;0.1;60pos;36;5;0.7618;0.7221;-0.0397
ADM;0.5;0.1;60pos;48;5;0.9784;0.9529;-0.0256
ADM;0.5;0.1;60pos;72;5;0.9921;0.9711;-0.0210
ADM;0.5;0.1;60pos;96;4;0.9098;0.9269;+0.0171
ADM;0.5;0.2;1;10;4;0.3319;0.3432;+0.0113
ADM;0.5;0.2;1;20;5;0.7000;0.6687;-0.0313
ADM;0.5;0.2;1;30;5;0.7067;0.6310;-0.0757
ADM;0.5;0.2;1;40;2;0.9901;0.9852;-0.0049
ADM;0.5;0.2;1;60;2;0.6692;0.6685;-0.0007
ADM;0.5;0.2;40pos;16;5;0.5517;0.5371;-0.0146
ADM;0.5;0.2;40pos;24;5;0.7948;0.7787;-0.0162
ADM;0.5;0.2;40pos;32;3;0.8191;0.8160;-0.0031
ADM;0.5;0.2;40pos;48;2;0.7117;0.7060;-0.0057
ADM;0.5;0.2;40pos;8;5;0.5024;0.4586;-0.0438
ADM;0.5;0.2;60pos;12;5;0.5794;0.6140;+0.0346
ADM;0.5;0.2;60pos;24;5;0.6097;0.5568;-0.0529
ADM;0.5;0.2;60pos;36;5;0.5204;0.5087;-0.0118
ADM;0.5;0.2;60pos;48;3;0.5686;0.5479;-0.0206
ADM;0.5;0.2;60pos;72;1;0.9802;1.0000;+0.0198
ADM;0.75;0.0;1;10;5;0.8393;0.7527;-0.0866
ADM;0.75;0.0;1;20;5;0.9902;0.9650;-0.0252
ADM;0.75;0.0;1;30;5;0.9902;0.9650;-0.0252
ADM;0.75;0.0;1;40;5;1.0000;1.0000;+0.0000
ADM;0.75;0.0;1;60;5;1.0000;1.0000;+0.0000
ADM;0.75;0.0;1;80;5;1.0000;1.0000;+0.0000
ADM;0.75;0.0;40pos;16;5;0.9748;0.9283;-0.0465
ADM;0.75;0.0;40pos;24;5;0.9846;0.9633;-0.0213
ADM;0.75;0.0;40pos;32;5;0.9883;0.9633;-0.0250
ADM;0.75;0.0;40pos;48;5;1.0000;1.0000;+0.0000
ADM;0.75;0.0;40pos;64;5;1.0000;1.0000;+0.0000
ADM;0.75;0.0;40pos;8;5;0.9650;0.9110;-0.0540
ADM;0.75;0.0;60pos;12;5;0.9464;0.8423;-0.1042
ADM;0.75;0.0;60pos;24;5;0.9612;0.8653;-0.0959
ADM;0.75;0.0;60pos;36;5;0.9883;0.9633;-0.0250
ADM;0.75;0.0;60pos;48;5;0.9748;0.9460;-0.0288
ADM;0.75;0.0;60pos;72;5;1.0000;1.0000;+0.0000
ADM;0.75;0.0;60pos;96;5;1.0000;1.0000;+0.0000
ADM;0.75;0.1;1;10;5;0.8353;0.7823;-0.0530
