SOURCE_POOL;TARGET_POOL;SEMANTICS;P_PARTIAL;NOISE;NFILES_POS;FOLD;ILASP_TRAIN_SUCCEEDED;STORED_MCC;STORED_MCC_FULL;SURFACE_POS;SURFACE_NEG;TP;FP;TN;FN;MCC;ACCURACY;LEARNED_MODEL_FILENAME;SCORE_SECONDS
dense;dense;CMP;0.5;0.1;60;5;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.5/ilasp_task_iter_5_pos_60_neg_60_noise_0_1.lp;
dense;sparse;CMP;0.5;0.1;60;5;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.5/ilasp_task_iter_5_pos_60_neg_60_noise_0_1.lp;
dense;self;CMP;0.5;0.1;60;5;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.5/ilasp_task_iter_5_pos_60_neg_60_noise_0_1.lp;
dense;large;CMP;0.5;0.1;60;5;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.5/ilasp_task_iter_5_pos_60_neg_60_noise_0_1.lp;
sparse;sparse;PRF;0.5;0.1;60;2;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v3_sparse/train_output/final_synthetic_v3_sparse_20260707_172223/PRF_partial_0.5/ilasp_task_iter_2_pos_60_neg_60_noise_0_1.lp;
sparse;dense;PRF;0.5;0.1;60;2;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v3_sparse/train_output/final_synthetic_v3_sparse_20260707_172223/PRF_partial_0.5/ilasp_task_iter_2_pos_60_neg_60_noise_0_1.lp;
self;self;ADM;0.5;0.1;60;5;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v3_self/train_output/final_synthetic_v3_self_20260708_104546/ADM_partial_0.5/ilasp_task_iter_5_pos_60_neg_60_noise_0_1.lp;
self;self;CMP;0.5;0.1;60;1;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v3_self/train_output/final_synthetic_v3_self_20260708_104546/CMP_partial_0.5/ilasp_task_iter_1_pos_60_neg_60_noise_0_1.lp;
self;self;CMP;0.5;0.1;60;3;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v3_self/train_output/final_synthetic_v3_self_20260708_104546/CMP_partial_0.5/ilasp_task_iter_3_pos_60_neg_60_noise_0_1.lp;
self;self;CMP;0.5;0.1;60;4;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v3_self/train_output/final_synthetic_v3_self_20260708_104546/CMP_partial_0.5/ilasp_task_iter_4_pos_60_neg_60_noise_0_1.lp;
self;self;STB;0.5;0.1;60;3;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v3_self/train_output/final_synthetic_v3_self_20260708_104546/STB_partial_0.5/ilasp_task_iter_3_pos_60_neg_60_noise_0_1.lp;
self;self;STB;0.5;0.1;60;4;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v3_self/train_output/final_synthetic_v3_self_20260708_104546/STB_partial_0.5/ilasp_task_iter_4_pos_60_neg_60_noise_0_1.lp;
self;self;PRF;1.0;0.1;20;2;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v3_self/train_output/final_synthetic_v3_self_20260708_104546/PRF_full/ilasp_task_iter_2_pos_20_neg_20_noise_0_1.lp;
self;self;PRF;1.0;0.1;60;2;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v3_self/train_output/final_synthetic_v3_self_20260708_104546/PRF_full/ilasp_task_iter_2_pos_60_neg_60_noise_0_1.lp;
self;self;PRF;1.0;0.1;60;3;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v3_self/train_output/final_synthetic_v3_self_20260708_104546/PRF_full/ilasp_task_iter_3_pos_60_neg_60_noise_0_1.lp;
self;self;PRF;1.0;0.1;20;4;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v3_self/train_output/final_synthetic_v3_self_20260708_104546/PRF_full/ilasp_task_iter_4_pos_20_neg_20_noise_0_1.lp;
self;self;PRF;1.0;0.1;60;4;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v3_self/train_output/final_synthetic_v3_self_20260708_104546/PRF_full/ilasp_task_iter_4_pos_60_neg_60_noise_0_1.lp;
self;self;PRF;1.0;0.1;60;5;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v3_self/train_output/final_synthetic_v3_self_20260708_104546/PRF_full/ilasp_task_iter_5_pos_60_neg_60_noise_0_1.lp;
self;self;PRF;0.5;0.1;20;1;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v3_self/train_output/final_synthetic_v3_self_20260708_104546/PRF_partial_0.5/ilasp_task_iter_1_pos_20_neg_20_noise_0_1.lp;
self;self;PRF;0.5;0.1;60;2;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v3_self/train_output/final_synthetic_v3_self_20260708_104546/PRF_partial_0.5/ilasp_task_iter_2_pos_60_neg_60_noise_0_1.lp;
self;self;PRF;0.5;0.1;20;3;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v3_self/train_output/final_synthetic_v3_self_20260708_104546/PRF_partial_0.5/ilasp_task_iter_3_pos_20_neg_20_noise_0_1.lp;
self;self;PRF;0.5;0.1;60;3;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v3_self/train_output/final_synthetic_v3_self_20260708_104546/PRF_partial_0.5/ilasp_task_iter_3_pos_60_neg_60_noise_0_1.lp;
self;self;PRF;0.5;0.1;60;4;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v3_self/train_output/final_synthetic_v3_self_20260708_104546/PRF_partial_0.5/ilasp_task_iter_4_pos_60_neg_60_noise_0_1.lp;
self;self;PRF;0.5;0.1;60;5;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v3_self/train_output/final_synthetic_v3_self_20260708_104546/PRF_partial_0.5/ilasp_task_iter_5_pos_60_neg_60_noise_0_1.lp;
self;dense;ADM;0.5;0.1;60;5;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v3_self/train_output/final_synthetic_v3_self_20260708_104546/ADM_partial_0.5/ilasp_task_iter_5_pos_60_neg_60_noise_0_1.lp;
self;dense;CMP;0.5;0.1;60;1;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v3_self/train_output/final_synthetic_v3_self_20260708_104546/CMP_partial_0.5/ilasp_task_iter_1_pos_60_neg_60_noise_0_1.lp;
self;dense;CMP;0.5;0.1;60;3;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v3_self/train_output/final_synthetic_v3_self_20260708_104546/CMP_partial_0.5/ilasp_task_iter_3_pos_60_neg_60_noise_0_1.lp;
self;dense;CMP;0.5;0.1;60;4;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v3_self/train_output/final_synthetic_v3_self_20260708_104546/CMP_partial_0.5/ilasp_task_iter_4_pos_60_neg_60_noise_0_1.lp;
self;dense;STB;0.5;0.1;60;3;0;0.0;0.0;;;;;;;;;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v3_self/train_output/final_synthetic_v3_self_20260708_104546/STB_partial_0.5/ilasp_task_iter_3_pos_60_neg_60_noise_0_1.lp;
