SOURCE_POOL;TARGET_POOL;SEMANTICS;P_PARTIAL;NOISE;NFILES_POS;N_FOLDS_SCORED;MEAN_TRANSFER_MCC;MIN_TRANSFER_MCC;MEAN_STORED_MCC_FULL;MEAN_TRANSFER_MINUS_STORED_FULL
dense;dense;ADM;0.5;0.0;20;5;0.970542;0.963177;0.949626;0.020915
dense;dense;ADM;0.5;0.0;60;5;1.0;1.0;1.0;0.0
dense;dense;ADM;0.5;0.1;20;5;0.865413;0.693889;0.844592;0.020822
dense;dense;ADM;0.5;0.1;60;5;0.908559;0.615882;0.930875;-0.022316
dense;dense;ADM;1.0;0.0;20;5;0.992635;0.963177;0.99801;-0.005375
dense;dense;ADM;1.0;0.0;60;5;1.0;1.0;1.0;0.0
dense;dense;ADM;1.0;0.1;20;5;0.919615;0.816497;0.926987;-0.007371
dense;dense;ADM;1.0;0.1;60;5;0.907549;0.848782;0.926702;-0.019152
dense;dense;CMP;0.5;0.0;20;5;1.0;1.0;1.0;0.0
dense;dense;CMP;0.5;0.0;60;5;1.0;1.0;1.0;0.0
dense;dense;CMP;0.5;0.1;20;5;0.467447;0.0;0.464595;0.002851
dense;dense;CMP;0.5;0.1;60;4;0.975076;0.962575;0.965166;0.00991
dense;dense;CMP;1.0;0.0;20;5;0.937767;0.848782;0.922395;0.015372
dense;dense;CMP;1.0;0.0;60;5;0.997515;0.987577;0.992154;0.005362
dense;dense;CMP;1.0;0.1;20;5;0.949814;0.89317;0.921439;0.028375
dense;dense;CMP;1.0;0.1;60;5;0.987515;0.95;0.970084;0.017431
dense;dense;PRF;0.5;0.0;20;5;0.973138;0.939336;0.984251;-0.011113
dense;dense;PRF;0.5;0.0;60;5;0.977906;0.963177;0.994049;-0.016143
dense;dense;PRF;0.5;0.1;20;5;0.877368;0.559893;0.903176;-0.025808
dense;dense;PRF;0.5;0.1;60;5;0.972908;0.963177;0.986107;-0.013199
dense;dense;PRF;1.0;0.0;20;5;0.938707;0.840725;0.959336;-0.020629
dense;dense;PRF;1.0;0.0;60;5;0.945591;0.888125;0.97232;-0.02673
dense;dense;PRF;1.0;0.1;20;5;0.88597;0.750816;0.908106;-0.022135
dense;dense;PRF;1.0;0.1;60;5;0.922748;0.900281;0.958314;-0.035566
dense;dense;STB;0.5;0.0;20;5;0.982928;0.939336;0.976946;0.005982
dense;dense;STB;0.5;0.0;60;5;1.0;1.0;1.0;0.0
dense;dense;STB;0.5;0.1;20;5;0.975621;0.939336;0.946503;0.029117
dense;dense;STB;0.5;0.1;60;5;0.990092;0.975305;0.992097;-0.002005
dense;dense;STB;1.0;0.0;20;5;0.995061;0.975305;0.996039;-0.000978
dense;dense;STB;1.0;0.0;60;5;1.0;1.0;1.0;0.0
dense;dense;STB;1.0;0.1;20;5;0.933436;0.859727;0.912985;0.020451
dense;dense;STB;1.0;0.1;60;5;0.956886;0.881917;0.9567;0.000186
dense;large;ADM;0.5;0.0;20;5;0.960952;0.95119;0.949626;0.011326
dense;large;ADM;0.5;0.0;60;5;1.0;1.0;1.0;0.0
dense;large;ADM;0.5;0.1;20;5;0.82893;0.5581;0.844592;-0.015662
dense;large;ADM;0.5;0.1;60;5;0.91932;0.596601;0.930875;-0.011555
dense;large;ADM;1.0;0.0;20;5;0.990238;0.95119;0.99801;-0.007772
dense;large;ADM;1.0;0.0;60;5;1.0;1.0;1.0;0.0
dense;large;ADM;1.0;0.1;20;5;0.970822;0.927613;0.926987;0.043835
dense;large;ADM;1.0;0.1;60;5;0.975968;0.904534;0.926702;0.049266
dense;large;CMP;0.5;0.0;20;5;1.0;1.0;1.0;0.0
dense;large;CMP;0.5;0.0;60;5;1.0;1.0;1.0;0.0
dense;large;CMP;0.5;0.1;20;5;0.456797;0.0;0.464595;-0.007798
dense;large;CMP;0.5;0.1;60;4;0.966737;0.927613;0.965166;0.001571
dense;large;CMP;1.0;0.0;20;5;0.951728;0.904534;0.922395;0.029333
dense;large;CMP;1.0;0.0;60;5;0.990238;0.95119;0.992154;-0.001916
dense;large;CMP;1.0;0.1;20;5;0.937944;0.859727;0.921439;0.016505
dense;large;CMP;1.0;0.1;60;5;0.973099;0.926158;0.970084;0.003014
dense;large;PRF;0.5;0.0;20;5;0.985271;0.963177;0.984251;0.00102
dense;large;PRF;0.5;0.0;60;5;0.977906;0.963177;0.994049;-0.016143
dense;large;PRF;0.5;0.1;20;5;0.852489;0.409736;0.903176;-0.050687
dense;large;PRF;0.5;0.1;60;5;0.977906;0.963177;0.986107;-0.008201
dense;large;PRF;1.0;0.0;20;5;0.957775;0.888125;0.959336;-0.001561
dense;large;PRF;1.0;0.0;60;5;0.958056;0.937573;0.97232;-0.014264
dense;large;PRF;1.0;0.1;20;5;0.952904;0.937573;0.908106;0.044798
dense;large;PRF;1.0;0.1;60;5;0.952935;0.937573;0.958314;-0.005378
dense;large;STB;0.5;0.0;20;5;0.997515;0.987577;0.976946;0.020569
dense;large;STB;0.5;0.0;60;5;1.0;1.0;1.0;0.0
dense;large;STB;0.5;0.1;20;5;0.992576;0.975305;0.946503;0.046073
dense;large;STB;0.5;0.1;60;5;0.995031;0.987577;0.992097;0.002934
dense;large;STB;1.0;0.0;20;5;1.0;1.0;0.996039;0.003961
dense;large;STB;1.0;0.0;60;5;1.0;1.0;1.0;0.0
dense;large;STB;1.0;0.1;20;5;0.942813;0.881917;0.912985;0.029828
dense;large;STB;1.0;0.1;60;5;0.985383;0.939336;0.9567;0.028683
dense;self;ADM;0.5;0.0;20;5;0.914536;0.89317;0.949626;-0.03509
dense;self;ADM;0.5;0.0;60;5;1.0;1.0;1.0;0.0
dense;self;ADM;0.5;0.1;20;5;0.880807;0.764303;0.844592;0.036216
dense;self;ADM;0.5;0.1;60;5;0.847841;0.25163;0.930875;-0.083034
dense;self;ADM;1.0;0.0;20;5;0.978634;0.89317;0.99801;-0.019376
dense;self;ADM;1.0;0.0;60;5;1.0;1.0;1.0;0.0
dense;self;ADM;1.0;0.1;20;5;0.935286;0.89317;0.926987;0.008299
dense;self;ADM;1.0;0.1;60;5;0.949718;0.870771;0.926702;0.023016
dense;self;CMP;0.5;0.0;20;5;1.0;1.0;1.0;0.0
dense;self;CMP;0.5;0.0;60;5;1.0;1.0;1.0;0.0
